,Media Sources,TBpolarity,compound,date,idx,negative,neutral,positive,text
48,Foxnews,0.0,0.0,2017-11-05,48,0.0,1.0,0.0,"Speaker Ryan says Clinton, DNC money deal 'takes the cake'
  https://t.co/b12ZG9oIrl"
49,Foxnews,0.13636363636363635,0.0,2017-11-05,49,0.0,1.0,0.0,".@TomiLahren: ""If Bernie has any grit at all, he will tear the @DNC a new one."" https://t.co/PfMOprxM2q https://t.co/ZudywtUiJ4"
50,Foxnews,0.0,0.0,2017-11-05,50,0.0,1.0,0.0,"Staff Sgt. Alonzo Lunsford: ""I think the political correctness is prohibiting us from making progress."" https://t.co/6nsKzefpfa"
51,Foxnews,0.35000000000000003,0.5859,2017-11-05,51,0.0,0.787,0.213,BREAKING NEWS: @ShalaneFlanagan becomes first American woman since 1977 to win NYC Marathon. https://t.co/vaa9Mf78M9 https://t.co/EgikoATW9O
52,Foxnews,0.0,0.0,2017-11-05,52,0.0,1.0,0.0,RT @FoxBusiness: Cowboys owner Jerry Jones rips Goodell's handling of Elliott suspension https://t.co/j098VTMHVP
53,Foxnews,0.35000000000000003,0.5859,2017-11-05,53,0.0,0.774,0.226,BREAKING NEWS: @ShalaneFlanagan becomes first American woman since 1977 to win NYC Marathon. https://t.co/TJU9oZVxVx
54,Foxnews,0.0,0.0,2017-11-05,54,0.0,1.0,0.0,"On @ffweekend, @David_Bossie responded to news that neither of the Presidents Bush voted for @POTUS. https://t.co/MJOJzdq6TE"
55,Foxnews,-0.25,0.0,2017-11-05,55,0.0,1.0,0.0,".@GovMikeHuckabee: ""@TheDemocrats moved past Clinton. The Republicans have moved on past the Bush family."" https://t.co/6oC1vQ6tBc"
56,Foxnews,-0.4,-0.4767,2017-11-05,56,0.237,0.763,0.0,".@David_Bossie: ""The broken status quo is what the Bushes ran."" https://t.co/vtZFBEPr0p"
57,Foxnews,0.2,-0.1761,2017-11-05,57,0.133,0.867,0.0,".@jasoninthehouse: ""I think the whole country was really questioning @HillaryClinton's health."" https://t.co/aAH9jAtIm2"
58,Foxnews,0.0,0.0,2017-11-05,58,0.0,1.0,0.0,"On @WattersWorld, @AnnCoulter slammed the Diversity Visa Lottery program. https://t.co/rSKyjlYOxF https://t.co/NCeh3b5Hkx"
59,Foxnews,0.0,0.0,2017-11-05,59,0.0,1.0,0.0,".@timclemente: ""Antifa as a group is literally the definition of terrorism."" https://t.co/y0avmjYEyb"
60,Foxnews,-0.15000000000000002,-0.5719,2017-11-05,60,0.209,0.791,0.0,".@SheriffClarke: ""[Antifa] is a hate group and most of America does not side with them."" https://t.co/RmfuRsM3H9"
61,Foxnews,0.0,0.3612,2017-11-05,61,0.0,0.878,0.122,".@CLewandowski_: ""It sounds like [Presidents W &amp; HW Bush] wanted @HillaryClinton to be in office to keep things the… https://t.co/FkkODnVsrt"
62,Foxnews,0.0,0.0,2017-11-05,62,0.0,1.0,0.0,"Speaker Ryan says Clinton, DNC money deal 'takes the cake' https://t.co/C1caypRkDC"
63,Foxnews,-0.5357142857142857,0.0,2017-11-05,63,0.0,1.0,0.0,".@AnnCoulter: ""Every single part of our immigration laws is insane."" https://t.co/rSKyjmgppd https://t.co/9cyu2mKSQk"
64,Foxnews,0.0,-0.4404,2017-11-05,64,0.225,0.775,0.0,".@carolmswain: ""We see attacks on Christianity from the @splcenter."" https://t.co/jSJ34JM6Qj https://t.co/hvqcaA4tZT"
65,Foxnews,0.0,0.0,2017-11-05,65,0.0,1.0,0.0,"It was one year ago this week since @realDonaldTrump was elected President - and on @SundayFutures, @VP reflected o… https://t.co/p15zdU8Wjf"
66,Foxnews,0.0,0.3612,2017-11-05,66,0.0,0.8,0.2,"Dr. Rebecca Grant: ""Every word in that pledge is universal."" https://t.co/MIXrr9yc28"
67,Foxnews,0.0,0.0,2017-11-05,67,0.0,1.0,0.0,#VAGov Poll: @EdWGillespie now leads @RalphNortham 40.4% to 37.4%. https://t.co/pS7RwY2zUo
68,Foxnews,0.35,0.3612,2017-11-05,68,0.0,0.878,0.122,"Marie Harf: ""I'd like for us to fairly judge the Trump Administration without always going back to what… https://t.co/xEYkYW2DU1"
69,Foxnews,-0.15555555555555559,0.0,2017-11-05,69,0.0,1.0,0.0,"Refugee admissions down 87%, percent of Muslim refugees declines from 45% to 23%. https://t.co/9SgK0pVBot"
70,Foxnews,0.55,0.0,2017-11-05,70,0.0,1.0,0.0,".@SteveScalise: ""I'm recovering. Still got a lot of rehab to go to be able to walk again on my own, but I can walk… https://t.co/3BVYoF8WcO"
71,Foxnews,0.0,0.0,2017-11-05,71,0.0,1.0,0.0,".@carolmswain responds to professor's op-ed slamming Pledge of Allegiance as ""an instrument of white nationalism.""… https://t.co/p11ghB6m5M"
72,Foxnews,-0.1111111111111111,-0.3167,2017-11-05,72,0.162,0.838,0.0,".@MZHemingway: ""Here you have the former DNC chair accusing the former Democratic nominee of some really serious sh… https://t.co/oIPmyoU6ry"
73,Foxnews,0.0,0.0,2017-11-05,73,0.0,1.0,0.0,".@edhenry: ""They have re-litigated, @TheDemocrats, this election for basically 12 months now."" #MediaBuzz https://t.co/JDldKadTPG"
74,Foxnews,0.5,-0.5859,2017-11-05,74,0.202,0.798,0.0,"Man used ice cream truck to lure, sexually assault children in North Carolina, police say https://t.co/UwiRoAmOnl"
75,Foxnews,0.35,0.5719,2017-11-05,75,0.0,0.802,0.198,".@VP: ""[@POTUS] won 30 of 50 states.""

WATCH: @MariaBartiromo's full interview w/ @VP - Part 4. https://t.co/d79B5eHYwb"
76,Foxnews,0.375,0.2023,2017-11-05,76,0.0,0.899,0.101,"""Ending this visa lottery program is important to @POTUS.""

WATCH: @MariaBartiromo's full interview with @VP - Part… https://t.co/OSEllQYJeH"
77,Foxnews,0.0,0.0,2017-11-05,77,0.0,1.0,0.0,"RT @EricShawnTV: Will #KimJongUn get it? I anchor @FoxNews at 12 Noon ET on @POTUS #DonaldTrump trip, Watch @FoxNews:  https://t.co/J5UIOT5…"
78,Foxnews,0.4,0.6249,2017-11-05,78,0.0,0.785,0.215,".@SteveScalise: ""@POTUS has done a great job at rolling back some of these radical regulations."" #SundayFutures… https://t.co/gAN65bsHIt"
79,Foxnews,0.0,-0.2023,2017-11-05,79,0.086,0.861,0.053,".@SteveScalise: ""If you want to get the economy going again, nothing we can do quicker than to pass this tax cut an… https://t.co/Bbd6mzTi0i"
80,Foxnews,0.55,0.0,2017-11-05,80,0.0,1.0,0.0,".@SteveScalise: ""I'm recovering. Still got a lot of rehab to go to be able to walk again on my own, but I can walk… https://t.co/V115sV6xd0"
81,Foxnews,0.475,0.5719,2017-11-05,81,0.0,0.783,0.217,"""We can have the kind of sustained growth that takes us well beyond 3%."" 

WATCH: @MariaBartiromo's full interview… https://t.co/YntZqm8bSO"
